,YEAR,MONTH,MIN,LAT,LON,ELEV(M),TEMP,DEWP,PRCP,USAF
0,2019,1,37.0,46.973,-123.93,3.7,45.2,40.6,0.02,727923
1,2019,2,30.9,46.973,-123.93,3.7,37.95,33.7,0.03,727923
2,2019,3,37.0,46.973,-123.93,3.7,47.0,39.4,0.0,727923
3,2019,4,43.0,46.973,-123.93,3.7,49.3,45.9,0.12,727923
4,2019,1,32.0,45.619,-121.166,71.6,37.5,33.0,0.0,726988
5,2019,2,23.55,45.619,-121.166,71.6,30.35,26.65,0.01,726988
6,2019,3,28.9,45.619,-121.166,71.6,41.0,31.8,0.0,726988
7,2019,4,45.0,45.619,-121.166,71.6,51.9,41.5,0.0,726988
8,2019,1,30.0,48.794,-122.537,45.4,41.2,34.1,0.0,727976
9,2019,2,25.0,48.794,-122.537,45.4,34.4,20.8,0.005,727976
10,2019,3,32.0,48.794,-122.537,45.4,46.0,35.3,0.0,727976
11,2019,4,44.1,48.794,-122.537,45.4,48.9,40.8,0.05,727976
12,2019,1,30.0,46.973,-122.903,57.3,40.4,37.7,0.0,727920
13,2019,2,26.35,46.973,-122.903,57.3,34.6,30.55,0.03,727920
14,2019,3,28.0,46.973,-122.903,57.3,44.3,33.5,0.0,727920
15,2019,4,39.0,46.973,-122.903,57.3,48.6,42.4,0.03,727920
16,2019,1,27.0,47.277,-121.337,1206.7,30.5,25.7,0.01,727815
17,2019,2,18.0,47.277,-121.337,1206.7,23.9,18.65,0.02,727815
18,2019,3,28.0,47.277,-121.337,1206.7,35.6,23.9,0.0,727815
19,2019,4,33.1,47.277,-121.337,1206.7,37.6,32.1,2.73,727815
20,2019,1,24.1,46.568,-120.543,324.3,33.3,28.3,0.0,727810
21,2019,2,18.05,46.568,-120.543,324.3,25.05,17.35,0.015,727810
22,2019,3,26.1,46.568,-120.543,324.3,37.7,27.7,0.0,727810
23,2019,4,36.0,46.568,-120.543,324.3,50.2,35.0,0.0,727810
24,2019,1,33.1,47.238,-123.141,82.6,39.4,36.3,0.0,727925
25,2019,2,27.5,47.238,-123.141,82.6,34.95,29.4,0.025,727925
26,2019,3,28.0,47.238,-123.141,82.6,45.8,32.7,0.0,727925
27,2019,4,41.0,47.238,-123.141,82.6,49.4,42.3,0.07,727925
28,2019,1,26.1,47.398,-120.201,374.6,31.1,26.7,0.0,727825
29,2019,2,14.0,47.398,-120.201,374.6,22.6,16.85,0.0,727825
30,2019,3,24.1,47.398,-120.201,374.6,36.7,26.3,0.0,727825
31,2019,4,39.0,47.398,-120.201,374.6,48.7,34.3,0.0,727825
32,2019,1,33.1,47.938,-124.555,56.4,42.9,35.8,0.01,727970
33,2019,2,26.15,47.938,-124.555,56.4,34.95,28.0,0.05,727970
34,2019,3,30.9,47.938,-124.555,56.4,44.5,36.3,0.0,727970
35,2019,4,41.0,47.938,-124.555,56.4,47.4,43.7,0.11,727970
36,2019,1,36.0,47.444,-122.314,112.8,44.1,36.2,0.0,727930
37,2019,2,31.0,47.444,-122.314,112.8,37.85,28.6,0.04,727930
38,2019,3,39.9,47.444,-122.314,112.8,49.3,35.1,0.0,727930
39,2019,4,45.0,47.444,-122.314,112.8,50.0,41.5,0.09,727930
40,2019,1,30.9,46.095,-118.287,355.4,35.4,28.9,0.0,727846
41,2019,2,22.55,46.095,-118.287,355.4,27.65,23.15,0.03,727846
42,2019,3,30.0,46.095,-118.287,355.4,37.7,29.7,0.0,727846
43,2019,4,45.0,46.095,-118.287,355.4,50.9,40.7,0.06,727846
44,2019,1,23.0,47.622,-117.528,717.2,30.5,26.6,0.0,727850
45,2019,2,11.9,47.622,-117.528,717.2,21.8,14.35,0.04,727850
46,2019,3,21.9,47.622,-117.528,717.2,35.1,25.2,0.0,727850
47,2019,4,34.0,47.622,-117.528,717.2,45.0,34.6,0.01,727850
48,2019,1,27.0,47.034,-120.53,538.3,33.5,29.1,0.0,727883
49,2019,2,14.0,47.034,-120.53,538.3,28.200000000000003,17.3,0.005,727883
50,2019,3,25.0,47.034,-120.53,538.3,37.7,27.1,0.0,727883
51,2019,4,39.0,47.034,-120.53,538.3,48.1,36.1,0.0,727883
52,2019,1,28.9,46.267,-119.117,124.1,36.6,32.1,0.0,727845
53,2019,2,16.0,46.267,-119.117,124.1,25.8,21.8,0.02,727845
54,2019,3,21.9,46.267,-119.117,124.1,33.2,28.2,0.0,727845
55,2019,4,44.1,46.267,-119.117,124.1,54.6,39.8,0.0,727845
56,2019,1,34.0,47.53,-122.301,5.5,43.7,37.2,0.0,727935
57,2019,2,30.0,47.53,-122.301,5.5,37.75,29.5,0.02,727935
58,2019,3,39.0,47.53,-122.301,5.5,50.0,34.8,0.0,727935
59,2019,4,46.0,47.53,-122.301,5.5,51.5,41.3,0.05,727935
60,2019,1,36.0,46.117,-122.894,6.1,41.6,38.8,0.01,727924
61,2019,2,30.9,46.117,-122.894,6.1,36.65,33.7,0.025,727924
62,2019,3,32.0,46.117,-122.894,6.1,46.0,35.3,0.0,727924
63,2019,4,45.0,46.117,-122.894,6.1,50.7,44.8,0.08,727924
64,2019,1,26.1,47.208,-119.319,364.5,34.1,29.5,0.0,727827
65,2019,2,15.1,47.208,-119.319,364.5,25.15,16.05,0.0,727827
66,2019,3,23.0,47.208,-119.319,364.5,33.7,25.2,0.0,727827
67,2019,4,39.0,47.208,-119.319,364.5,52.1,37.6,0.01,727827
68,2019,1,22.8,47.633,-117.65,750.1,29.8,28.8,0.0,727855
69,2019,2,10.2,47.633,-117.65,750.1,21.25,16.950000000000003,0.01,727855
70,2019,3,23.5,47.633,-117.65,750.1,33.4,26.8,0.0,727855
71,2019,4,33.8,47.633,-117.65,750.1,44.5,37.2,0.06,727855
72,2019,1,26.1,47.308,-119.515,381.6,34.4,28.5,0.0,727900
73,2019,2,14.9,47.308,-119.515,381.6,23.75,16.2,0.0,727900
74,2019,3,25.0,47.308,-119.515,381.6,37.7,26.2,0.0,727900
75,2019,4,41.0,47.308,-119.515,381.6,51.3,35.6,0.0,727900
76,2019,1,37.0,48.35,-122.667,14.3,45.0,36.8,0.0,720749
77,2019,2,30.0,48.35,-122.667,14.3,38.75,28.3,0.01,720749
78,2019,3,35.1,48.35,-122.667,14.3,47.2,37.3,0.0,720749
79,2019,4,46.0,48.35,-122.667,14.3,51.6,42.1,0.07,720749
80,2019,1,30.0,47.15,-122.483,98.2,41.1,40.5,0.03,742060
81,2019,2,26.25,47.15,-122.483,98.2,35.55,33.75,0.03,742060
82,2019,3,28.8,47.15,-122.483,98.2,46.1,39.6,0.0,742060
83,2019,4,42.3,47.15,-122.483,98.2,50.1,46.6,0.03,742060
84,2019,1,32.2,46.306,-119.304,120.1,37.3,33.9,0.0,727884
85,2019,2,20.45,46.306,-119.304,120.1,27.35,23.3,0.03,727884
86,2019,3,26.6,46.306,-119.304,120.1,38.2,31.0,0.0,727884
87,2019,4,46.6,46.306,-119.304,120.1,54.25,40.05,0.025,727884
